ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2740,427,0,58,0
2,10868,8005,0,20916,55
4,10868,8005,0,46893,90
6,10868,8005,0,77978,136
8,10868,8005,0,110738,181
10,10900,6039,0,140648,209
12,10900,762,0,157295,311
14,10900,762,0,159084,513
16,10900,762,0,160940,597
18,10900,762,0,162758,626
20,10900,762,0,164554,688
23,10900,762,0,166205,731
25,10900,762,0,168117,790
27,10900,762,0,169776,835
29,10900,762,0,171348,853
31,10900,5,0,173003,952
