model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
thread-per-conn,500,1,500.0,0,127,134,170,179,264,264
thread-per-conn,5000,10,5000.0,0,103,117,128,139,157,209
thread-per-conn,20000,100,20000.0,0,77,85,89,106,110,178
thread-per-conn,40000,1000,40000.0,0,59,84,88,92,107,229
thread-per-conn,50000,10000,0.0,-1,0,0,0,0,0,0
