model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
thread-pool,500,1,500.0,0,316,423,804,1280,8231,8231
thread-pool,5000,10,5000.0,0,227,310,607,2943,14223,10002431
thread-pool,20000,100,20000.0,0,219,657,6647,15047,9977855,10002431
thread-pool,40000,1000,40000.0,0,263,1780,9967,10018815,10027007,10051583
thread-pool,50000,10000,89.8,499102,2351103,3774463,3940351,3940351,3940351,3940351
