model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
epoll-et,500,1,500.0,0,130,137,168,177,285,285
epoll-et,5000,10,5000.0,0,105,108,115,123,127,210
epoll-et,20000,100,20000.0,0,79,85,94,100,117,367
epoll-et,40000,1000,40000.0,0,68,84,95,104,115,304
epoll-et,50000,10000,0.0,-1,0,0,0,0,0,0
