model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
multireactor,500,1,500.0,0,130,138,177,189,485,485
multireactor,5000,10,5000.0,0,104,128,134,155,1663,2665
multireactor,20000,100,20000.0,0,79,86,91,112,1479,3581
multireactor,40000,1000,40000.0,0,61,86,92,100,1976,3365
multireactor,50000,10000,50000.0,0,69,89,92,104,2551,3829
