model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
event-loop,500,1,500.0,0,410,643,1243,1913,3793,3793
event-loop,5000,10,5000.0,0,103,207,436,691,1307,1856
event-loop,20000,100,20000.0,0,85,114,71679,132223,137599,143487
event-loop,40000,1000,40000.0,0,70,94,28175,52223,56927,57439
event-loop,50000,10000,0.0,-1,0,0,0,0,0,0
