model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
io-uring,500,1,500.0,0,400,520,1169,1286,2645,2645
io-uring,5000,10,5000.0,0,92,178,463,826,1563,7899
io-uring,20000,100,20000.0,0,77,97,39327,62655,65599,66687
io-uring,40000,1000,11270.3,287297,98,136,72127,128703,135295,135679
io-uring,50000,10000,0.0,-2,0,0,0,0,0,0
