model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
poll,500,1,500.0,0,133,146,174,179,324,324
poll,5000,10,5000.0,0,87,108,114,123,133,183
poll,20000,100,20000.0,0,98,109,116,121,128,519
poll,40000,1000,40000.0,0,378,445,491,522,552,4035
poll,50000,10000,0.0,-1,0,0,0,0,0,0
