ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
1,2648,340,0,52,0
3,10048,8005,0,1995,123
5,10052,8005,0,1995,135
7,10052,8005,0,1999,187
9,10052,8005,0,2026,219
11,10052,8005,0,2028,224
13,10052,8005,0,2028,316
15,10052,8005,0,2029,340
17,10052,8005,0,2041,498
19,10052,8005,0,2042,505
21,10052,8005,0,2088,533
23,10052,8005,0,3100,695
25,10056,8005,0,3106,819
27,10056,8005,0,3108,827
29,10056,8005,0,3245,850
31,10056,5,0,3263,933
