ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2428,203,0,25,1
2,10740,10005,0,5261,22
4,10744,10005,0,6452,25
6,10744,10005,0,8917,30
8,10744,10005,0,10825,35
10,10744,10005,0,12873,39
12,10744,10005,0,14984,42
14,10744,10005,0,16939,47
16,10744,10005,0,18973,50
18,10744,10005,0,20927,55
20,10744,10005,0,22855,58
22,10744,10005,0,24785,63
24,10744,10005,0,26694,66
26,10744,10005,0,28678,71
29,10744,10005,0,30710,75
31,10748,7180,0,32606,84
