workers,connections,rate,throughput_rps,p50,p99,p999
1,1000,80000,80000.0,67,87,107
2,1000,80000,80000.0,61,79,88
4,1000,80000,80000.0,57,82,89
8,1000,80000,80000.0,56,80,84
16,1000,80000,80000.0,57,81,85
32,1000,80000,80000.0,58,82,85
48,1000,80000,80000.0,58,82,86
