model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
epoll-lt,500,1,500.0,0,135,145,190,239,331,331
epoll-lt,5000,10,5000.0,0,87,108,112,122,154,277
epoll-lt,20000,100,20000.0,0,82,89,97,109,117,160
epoll-lt,40000,1000,40000.0,0,74,93,101,110,119,222
epoll-lt,50000,10000,0.0,-1,0,0,0,0,0,0
