ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2912,235,0,6,1
2,10948,10027,0,6,1
4,10948,10027,0,6,1
6,10948,10027,0,6,1
8,10948,10027,0,6,1
10,10948,10027,0,6,1
12,10948,10027,0,6,1
14,10952,10027,0,6,1
16,10952,10027,0,6,1
18,10952,10027,0,6,1
20,10952,10027,0,6,1
22,10952,10027,0,6,1
24,10952,10027,0,6,1
26,10952,10027,0,6,1
28,10952,10027,0,6,1
30,10952,27,0,6,1
