ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,3000,256,0,72,0
2,3144,8004,0,6622,0
4,3144,8004,0,6622,0
6,3144,8004,0,6622,0
8,3144,8004,0,6622,0
10,3144,8004,0,6622,0
12,3144,8004,0,6622,0
14,3144,8004,0,6622,0
16,3144,8004,0,6622,0
18,3144,8004,0,6622,0
20,3144,8004,0,6622,0
23,3144,8004,0,6622,0
25,3144,8004,0,6622,0
27,3144,8004,0,6622,0
29,3144,8004,0,6622,0
31,3176,4,0,6622,0
