model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
thread-per-conn,500,1,500.0,0,331,713,1193,2401,4535,4535
thread-per-conn,5000,10,5000.0,0,123,413,947,2565,4739,6159
thread-per-conn,20000,100,20000.0,0,101,142,5695,17551,20799,23311
thread-per-conn,40000,1000,40000.0,0,92,137,1258,14231,17647,24671
thread-per-conn,50000,10000,0.0,-1,0,0,0,0,0,0
