model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
iterative,500,1,500.0,0,391,604,1255,2309,3581,3581
iterative,5000,10,5000.0,0,121,953,6451,9599,10002431,10002431
iterative,20000,100,20000.0,0,94,4299,18607,35967,10010623,10010623
iterative,40000,1000,27257.0,127430,1529855,3184639,3481599,3502079,3506175,3506175
iterative,50000,10000,0.0,-1,0,0,0,0,0,0
