ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2648,404,0,54,2
2,10036,8005,0,1634,399
4,10036,8005,0,1640,856
6,10040,8005,0,1664,1632
8,10044,8005,0,1690,2312
10,10048,8005,0,1721,2982
12,10052,8005,0,1747,3596
15,10052,8005,0,1800,4382
17,10056,8005,0,1840,5104
19,10056,8005,0,1881,5959
21,10056,8005,0,1881,6389
23,10056,8005,0,1919,7205
25,10056,8005,0,1934,7853
27,10056,8005,0,1934,7874
29,10056,8005,0,1934,8222
31,10056,5,0,1955,9008
