model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
epoll-lt,500,1,500.0,0,398,506,1292,4907,4927,4927
epoll-lt,5000,10,5000.0,0,103,185,494,1156,2587,3081
epoll-lt,20000,100,20000.0,0,85,99,22639,40799,44799,45215
epoll-lt,40000,1000,40000.0,0,85,121,195583,217087,221055,221695
epoll-lt,50000,10000,0.0,-1,0,0,0,0,0,0
