model,rate,connections,throughput_rps,errors,p50,p90,p99,p999,p9999,max
thread-pool,500,1,500.0,0,498,640,1180,1421,2253,2253
thread-pool,5000,10,5000.0,0,162,330,591,1124,3741,10002431
thread-pool,20000,100,20000.0,0,154,223,3091,7215,10002431,10010623
thread-pool,40000,1000,40000.0,0,203,523,10495,10035199,10051583,10084351
thread-pool,50000,10000,0.0,-2,0,0,0,0,0,0
